record_id,field,current,proposed,tier,basis,evidence,title
119540,doi,oai:scholarworks.wmich.edu:jssw-3408,10.15453/0191-5096.3408,A,oai_conversion,crossref=10.15453/0191-5096.3408 sim=1.0 year=match journal=match/name,The Failures of American Poverty Measures
99676,journal,Journal of Social Work Practice,The Journal of Sociology &amp; Social Welfare,B,doi_lookup,crossref=10.15453/0191-5096.3805 sim=1.0 year=match journal=mismatch/name,Congregations in the community: A case study of social welfare provision
100016,journal,Journal of Social Work Practice,The Journal of Sociology &amp; Social Welfare,B,doi_lookup,crossref=10.15453/0191-5096.3251 sim=1.0 year=match journal=mismatch/name,"Globalization, immigration and the Welfare State: A cross-national comparison"
114901,doi,dc/feacac8a8d,10.18060/14,B,search_malformed,crossref=10.18060/14 sim=1.0 year=match journal=match/name,Assessment of Student Learning in SocialWork Education: The Indiana Model
116279,doi,dc/c7b1c19b34,10.30827/tsg-gsw.v14.28860,B,search_malformed,crossref=10.30827/tsg-gsw.v14.28860 sim=1.0 year=match journal=match/issn,Trabajo y familia: Protección infantil en tiempos de pandemia
114915,doi,dc/cce813eb8f,10.18060/21320,B,search_malformed,crossref=10.18060/21320 sim=1.0 year=match journal=match/name,Interdisciplinary Issues at the Intersection of Assessing and Treating Substance Use Disorders and Post Traumatic Stress
116238,doi,dc/a668d71134,10.30827/tsg-gsw.v4i6.1807,B,search_malformed,crossref=10.30827/tsg-gsw.v4i6.1807 sim=1.0 year=match journal=match/issn,"Democracia, participación ciudadana y funciones del trabajo social"
115281,doi,dc/fac3184dbd,10.31265/jcsw.v19i2.657,B,search_malformed,crossref=10.31265/jcsw.v19i2.657 sim=0.97 year=match journal=match/name,‘I feel good here’
116259,doi,dc/bad8fd1c7c,10.30827/tsg-gsw.v7i12.5336,B,search_malformed,crossref=10.30827/tsg-gsw.v7i12.5336 sim=1.0 year=match journal=match/issn,Movimientos sociales y acceso a bienes y servicios. Propuesta de marco analítico a partir de un análisis comparado de ca
114873,doi,dc/8a5380b5cf,10.18060/181,B,search_malformed,crossref=10.18060/181 sim=1.0 year=match journal=match/name,"Investigation of the factor structure of the mental, physical and spiritual well-being scale"
115063,doi,dc/9e99c10dfb,10.18060/174,B,search_malformed,crossref=10.18060/174 sim=1.0 year=match journal=match/name,Attachment and Alternatives: Theory in Child Welfare Research
114870,doi,dc/22f65bdb4c,10.18060/589,B,search_malformed,crossref=10.18060/589 sim=1.0 year=match journal=match/name,Evaluating Qualitative Research for Social Work Practitioners
114623,doi,dc/f1840aadee,10.18060/12063,B,search_malformed,crossref=10.18060/12063 sim=1.0 year=match journal=match/name,Social Workers as Civic-Minded Professionals
114814,doi,dc/79035683ee,10.18060/8846,B,search_malformed,crossref=10.18060/8846 sim=1.0 year=match journal=match/name,Working with Lesbian-Headed Families: What Social Workers Need to Know
114929,doi,dc/4616062385,10.18060/18504,B,search_malformed,crossref=10.18060/18504 sim=1.0 year=match journal=match/name,Preparing Social Work Students for International Interdisciplinary Practice: A Teaching Model and Its Impact on Self-Eff
114651,doi,dc/cd68186168,10.18060/21620,B,search_malformed,crossref=10.18060/21620 sim=0.97 year=match journal=match/name,Social Work Practice and Gun Safety in the United States
115333,doi,dc/ff484a21c8,10.31265/jcsw.v20i1.733,B,search_malformed,crossref=10.31265/jcsw.v20i1.733 sim=0.97 year=match journal=match/name,Economic Participation among Older People
115292,doi,dc/696e6b310b,10.31265/jcsw.v13i2.176,B,search_malformed,crossref=10.31265/jcsw.v13i2.176 sim=0.97 year=match journal=match/name,Successful Collaboration in Social Care Practice
116258,doi,dc/5bfcc17959,10.30827/tsg-gsw.v9i17.8951,B,search_malformed,crossref=10.30827/tsg-gsw.v9i17.8951 sim=1.0 year=match journal=match/issn,"Imaginarios, mitos y actitudes frente a la bisexualidad en estudiantes de Trabajo Social"
116355,doi,dc/cd491ff680,10.30827/tsg-gsw.v7i13.5839,B,search_malformed,crossref=10.30827/tsg-gsw.v7i13.5839 sim=1.0 year=match journal=match/issn,Las competencias para el desempeño profesional en Trabajo Social dentro de la formación: del burnout al engagement a tra
114746,doi,dc/4beeb2277d,10.18060/193,B,search_malformed,crossref=10.18060/193 sim=1.0 year=match journal=match/name,Healing Rituals for Survivors of Rape
117145,doi,dc/0b6f175881,10.15763/issn.1936-9298.2023.7.1.111-123,B,search_malformed,crossref=10.15763/issn.1936-9298.2023.7.1.111-123 sim=1.0 year=match journal=match/issn,Policy & Change: An Analysis of Veteran Perpetrated Mass Shootings & Social Work's Call to Action
117120,doi,dc/6ebedf3549,10.58671/aswj.v13i1.101,B,search_malformed,crossref=10.58671/aswj.v13i1.101 sim=1.0 year=match journal=match/issn,Representation of Child Exploitation in the Film 'Trade of Innocents' and Reflections for Indonesia
116315,doi,dc/12db53bea5,10.30827/tsg-gsw.v3i4.952,B,search_malformed,crossref=10.30827/tsg-gsw.v3i4.952 sim=1.0 year=match journal=match/issn,Exclusión social: fundamentos teóricos y de la intervención
117091,doi,dc/5467ec361e,10.58671/aswj.v13i1.134,B,search_malformed,crossref=10.58671/aswj.v13i1.134 sim=1.0 year=match journal=match/issn,2025 Consolidate
117124,doi,dc/6bb61dbcc0,10.58671/aswj.v11i2.43,B,search_malformed,crossref=10.58671/aswj.v11i2.43 sim=1.0 year=match journal=match/issn,Does Regionalism Work in Managing the COVID-19 Pandemic: a Case Study of ASEAN
117134,doi,dc/9d8a0339eb,10.1080/1936928x.2013.866608,B,search_malformed,crossref=10.1080/1936928x.2013.866608 sim=1.0 year=match journal=match/issn,Interpersonal Dependency Constructs and Male Perpetrators of Intimate Partner Violence
114807,doi,dc/527092e36e,10.18060/16647,B,search_malformed,crossref=10.18060/16647 sim=1.0 year=match journal=match/name,A Shifting Paradigm – Medical to Interactional Model: A Personal History
116150,doi,dc/ef84e573ac,10.30827/tsg-gsw.v11.15735,B,search_malformed,crossref=10.30827/tsg-gsw.v11.15735 sim=1.0 year=match journal=match/issn,Dirección Vital. Propuesta de análisis para la detección de capacidades espirituales en la intervención social
116180,doi,dc/d6650879f9,10.30827/tsg-gsw.v8i14.7389,B,search_malformed,crossref=10.30827/tsg-gsw.v8i14.7389 sim=1.0 year=match journal=match/issn,"Reseña: Rossel Poch, T. y Rodríguez Molinte, P. (2017). La entrevista en el Trabajo Social. Madrid: HERDER"
116348,doi,dc/d86b0987d6,10.30827/tsg-gsw.v12.23687,B,search_malformed,crossref=10.30827/tsg-gsw.v12.23687 sim=1.0 year=match journal=match/issn,"Desarrollo comunitario, participación ciudadana y dimensión política del Trabajo Social. Artículo homenaje a Marco March"
115268,doi,dc/5b856f7210,10.31265/jcsw.v5i1.52,B,search_malformed,crossref=10.31265/jcsw.v5i1.52 sim=0.97 year=match journal=match/name,Social care going market
116239,doi,dc/48f8111a6d,10.30827/tsg-gsw.v7i13.6659,B,search_malformed,crossref=10.30827/tsg-gsw.v7i13.6659 sim=1.0 year=match journal=match/issn,"Reseña: Ituarte Tellaeche, A.(2017). Prácticas del Trabajo Social Clínico. Valencia: Editorial Nau llibres."
114952,doi,dc/deba542066,10.18060/1937,B,search_malformed,crossref=10.18060/1937 sim=1.0 year=match journal=match/name,Urban Heat Islands and Social Work: Opportunities for Intervention
114615,doi,dc/279e0f9d6f,10.18060/16441,B,search_malformed,crossref=10.18060/16441 sim=1.0 year=match journal=match/name,What is the Role of Social Work in China? A Multi-Dimensional Analysis
114876,doi,dc/7c11705763,10.18060/73,B,search_malformed,crossref=10.18060/73 sim=1.0 year=match journal=match/name,Social Work Values and Ethics: Reflections on the Profession's Odssey
114887,doi,dc/342cbb2c5d,10.18060/219,B,search_malformed,crossref=10.18060/219 sim=1.0 year=match journal=match/name,"Research Training, Institutional Support, and Self-Efficacy: Their Impact on Research Activity of Social Workers"
114776,doi,dc/1199becc56,10.18060/8767,B,search_malformed,crossref=10.18060/8767 sim=1.0 year=match journal=match/name,Prevention as an Explicit Part of the Social Work Profession: Part Two of a Systematic Investigation
114992,doi,dc/79014127ed,10.18060/12782,B,search_malformed,crossref=10.18060/12782 sim=1.0 year=match journal=match/name,Ruth Irelan Knee: Influencing Progress in Mental Health
114946,doi,dc/fb2693f89e,10.18060/21287,B,search_malformed,crossref=10.18060/21287 sim=1.0 year=match journal=match/name,Trauma-Exposed Infants and Toddlers: A Review of Impacts and Evidence-Based Interventions
114820,doi,dc/4bc890ec7b,10.18060/1894,B,search_malformed,crossref=10.18060/1894 sim=1.0 year=match journal=match/name,Towards a Research Agenda for Social Work Practice in Virtual Worlds
117163,doi,dc/fc5e3f716a,10.1080/1936928x.2014.999851,B,search_malformed,crossref=10.1080/1936928x.2014.999851 sim=1.0 year=match journal=match/issn,Behavioral Health and Sociocultural Determinants of Corrections Involvement Among Vulnerable African American Females: H
115835,doi,dc/2460c6110d,10.15270/52-1-483,B,search_malformed,crossref=10.15270/52-1-483 sim=1.0 year=match_offset_1 journal=match/name,POLICE SOCIAL WORK IN SOUTH AFRICA
115289,doi,dc/2f5381425d,10.31265/jcsw.v15i1.316,B,search_malformed,crossref=10.31265/jcsw.v15i1.316 sim=0.97 year=match journal=match/name,How I became homeless
114812,doi,dc/1e15b3f9a1,10.18060/1878,B,search_malformed,crossref=10.18060/1878 sim=1.0 year=match journal=match/name,The Unique Mental Health Needs of Military Women: A Social Work Call to Action
115355,doi,dc/e607a10a0d,10.31265/jcsw.v4i1.46,B,search_malformed,crossref=10.31265/jcsw.v4i1.46 sim=0.97 year=match journal=match/name,Close but not too close. Distant but not too distant
114958,doi,dc/f6dce4580d,10.18060/3811,B,search_malformed,crossref=10.18060/3811 sim=1.0 year=match journal=match/name,Voces de los Menores Inmigrantes en el Sistema de Cuidado Sustituto de Puerto Rico
115174,doi,dc/2796532cfa,10.31265/jcsw.v18i2.765,B,search_malformed,crossref=10.31265/jcsw.v18i2.765 sim=1.0 year=match journal=match/name,Eclecticism in child welfare
116195,doi,dc/a7934e94f8,10.30827/tsg-gsw.v3i4.953,B,search_malformed,crossref=10.30827/tsg-gsw.v3i4.953 sim=1.0 year=match journal=match/issn,Prácticas de resistencia y alternativas para el cambio. Una defensa del Trabajo Social con colectivos y comunidades
116237,doi,dc/111b1f925c,10.30827/tsg-gsw.v15.30661,B,search_malformed,crossref=10.30827/tsg-gsw.v15.30661 sim=1.0 year=match journal=match/issn,Competencias digitales y herramientas tecnológicas en profesionales de Servicios Sociales en Andalucía
114614,doi,dc/c99aa95512,10.18060/23656,B,search_malformed,crossref=10.18060/23656 sim=1.0 year=match journal=match/name,Interprofessional Learning Opportunity Regarding Pain and the Opioid Epidemic
116364,doi,dc/0337d759f6,10.30827/tsg-gsw.v13.29457,B,search_malformed,crossref=10.30827/tsg-gsw.v13.29457 sim=1.0 year=match journal=match/issn,La intervención de los trabajadores sociales en el marco de la Ley de Eutanasia
115020,doi,dc/8fe3e6b03b,10.18060/22526,B,search_malformed,crossref=10.18060/22526 sim=0.988 year=match journal=match/name,Survey of the Mobile Phone-Based Interventions for Violence Prevention Among Women
115302,doi,dc/94e988eaf2,10.31265/jcsw.v13i1.160,B,search_malformed,crossref=10.31265/jcsw.v13i1.160 sim=0.97 year=match journal=match/name,Professionals’ support role for survivors of femicide and relatives of victims
114889,doi,dc/6dfba2bf9a,10.18060/23667,B,search_malformed,crossref=10.18060/23667 sim=0.97 year=match journal=match/name,Helping Community Partners Build Capacity within Integrated Behavioral Health
114989,doi,dc/ac0c659ed2,10.18060/196,B,search_malformed,crossref=10.18060/196 sim=1.0 year=match journal=match/name,Child Welfare Workers’ Connectivity to Resources and Youth’s Receipt of Services
115034,doi,dc/38eb33e2c5,10.18060/129,B,search_malformed,crossref=10.18060/129 sim=1.0 year=match journal=match/name,Motivational Interviewing: A Theoretical Framework for the Study of Human Behavior and the Social Environment
115114,doi,dc/ffb670b0ab,10.31265/jcsw.v15i1.320,B,search_malformed,crossref=10.31265/jcsw.v15i1.320 sim=0.97 year=match journal=match/name,Immigrant family socialization
114600,doi,dc/dbf0f5740d,10.18060/22639,B,search_malformed,crossref=10.18060/22639 sim=0.97 year=match journal=match/name,Revising McPhail’s Feminist Policy Analysis Framework
115146,doi,dc/20181752bf,10.31265/jcsw.v13i1.159,B,search_malformed,crossref=10.31265/jcsw.v13i1.159 sim=0.97 year=match journal=match/name,'He said he was going to kill me'
114959,doi,dc/b9de790411,10.18060/1890,B,search_malformed,crossref=10.18060/1890 sim=1.0 year=match journal=match/name,Military Social Work Thinking in South Africa
115130,doi,dc/f3342281bf,10.31265/jcsw.v8i1.95,B,search_malformed,crossref=10.31265/jcsw.v8i1.95 sim=0.97 year=match journal=match/name,Memories from the frontline
115076,doi,dc/81e02a94cc,10.18060/1952,B,search_malformed,crossref=10.18060/1952 sim=1.0 year=match journal=match/name,Advancing Discussion of Federal Faith-based Social Service Policies through Overview and Application of Established Heal
114732,doi,dc/675a88d7a9,10.18060/21,B,search_malformed,crossref=10.18060/21 sim=1.0 year=match journal=match/name,Economic Modeling in SocialWork Education
114854,doi,dc/4631d3c582,10.18060/1990,B,search_malformed,crossref=10.18060/1990 sim=1.0 year=match journal=match/name,Client Goals and Dreams: Replacing the Norm of Functioning
117199,doi,dc/428d3ad38b,10.1080/1936928x.2013.809326,B,search_malformed,crossref=10.1080/1936928x.2013.809326 sim=1.0 year=match journal=match/issn,"Utilization of the Massachusetts Youth Screening Instrument-2 (MAYSI-2) with a Southern, African American Adolescent Mal"
117228,doi,dc/a82c375ed3,10.1080/1936928x.2013.859027,B,search_malformed,crossref=10.1080/1936928x.2013.859027 sim=1.0 year=match journal=match/issn,Inter-Professional Collaboration: Perceptions and Practices with Youth with Complex Problems
114604,doi,dc/044e82a616,10.18060/21288,B,search_malformed,crossref=10.18060/21288 sim=1.0 year=match journal=match/name,A Multi-Systems Life Course Perspective of Economic Abuse
115163,doi,dc/3f6a5e7cfe,10.31265/jcsw.v6i2.70,B,search_malformed,crossref=10.31265/jcsw.v6i2.70 sim=0.97 year=match journal=match/name,Social Work in Ghana
114679,doi,dc/524511a161,10.18060/2440,B,search_malformed,crossref=10.18060/2440 sim=1.0 year=match journal=match/name,Reimagining Field Education in Social Work: The Promise Unveiled
115160,doi,dc/dfaa7ce372,10.31265/jcsw.v16i2.393,B,search_malformed,crossref=10.31265/jcsw.v16i2.393 sim=0.97 year=match journal=match/name,Business as Usual in Unusual Times
117093,doi,dc/88f2675ddb,10.58671/aswj.v10i1.15,B,search_malformed,crossref=10.58671/aswj.v10i1.15 sim=1.0 year=match journal=match/issn,"Saving and Spending Habits of Overseas Filipino Workers (OFWs) and Their Families in Region Xi, Philippines"
114890,doi,dc/bd85c82a12,10.18060/266,B,search_malformed,crossref=10.18060/266 sim=1.0 year=match journal=match/name,Does Ethnicity Matter? Social Workers’ Personal Attitudes and Professional Behaviors in Reporting Child Maltreatment
116368,doi,dc/138ad5913e,10.30827/tsg-gsw.v9i17.9110,B,search_malformed,crossref=10.30827/tsg-gsw.v9i17.9110 sim=1.0 year=match journal=match/issn,El análisis de las necesidades desde la Teoría del Desarrollo a Escala Humana: el caso de dos barrios vulnerables de la 
74284,doi,,10.1093/oxfordjournals.bjsw.a055846,B,search_null_doi,crossref=10.1093/oxfordjournals.bjsw.a055846 sim=1.0 year=match journal=match/name,Guardianship of the person in Scotland
126023,doi,,10.1093/bjsw/33.8.1081,B,search_null_doi,crossref=10.1093/bjsw/33.8.1081 sim=0.97 year=match journal=match/name,Working in multidisciplinary community mental health teams: the impact on social workers.
394,doi,,10.1093/sw/37.2.101,B,search_null_doi,crossref=10.1093/sw/37.2.101 sim=1.0 year=match journal=match/name,TOWARD A MORE COMPREHENSIVE PERSONOLOGY - INTEGRATING A SPIRITUAL PERSPECTIVE INTO SOCIAL-WORK-PRACTICE
103587,doi,,10.3998/mpub.10900,B,search_null_doi,crossref=10.3998/mpub.10900 sim=0.97 year=match_offset_1 journal=unknown/no_container_title,"""Responsive Reading"" and ""Wedding Day: The Fifth Blessing"""
74163,doi,,10.1093/oxfordjournals.bjsw.a056220,B,search_null_doi,crossref=10.1093/oxfordjournals.bjsw.a056220 sim=1.0 year=match journal=match/name,A profile of adult placement carers
386,doi,,10.1093/sw/37.2.144,B,search_null_doi,crossref=10.1093/sw/37.2.144 sim=1.0 year=match journal=match/name,INFANT MENTAL-HEALTH - AN EXPANDING FIELD FOR SOCIAL-WORK
34069,doi,,10.1300/j083v23n01_03,B,search_null_doi,crossref=10.1300/j083v23n01_03 sim=0.994 year=match_offset_1 journal=match/name,ENHANCING THE WELL-BEING OF FAMILY CAREGIVERS TO PATIENTS WITH ALZHEIMERS-DISEASE
1023,doi,,10.1093/sw/38.3.339,B,search_null_doi,crossref=10.1093/sw/38.3.339 sim=1.0 year=match journal=match/name,PREPARING FOR SUDDEN-DEATH - SOCIAL-WORK IN THE EMERGENCY ROOM
54521,doi,,10.15453/0191-5096.2214,B,search_null_doi,crossref=10.15453/0191-5096.2214 sim=1.0 year=match journal=match/name,ETHNIC SENSITIVE SOCIAL-WORK-PRACTICE - THE STATE-OF-THE-ART
54518,doi,,10.15453/0191-5096.2289,B,search_null_doi,crossref=10.15453/0191-5096.2289 sim=0.97 year=match_offset_1 journal=match/name,"Public spending on income-tested social welfare programs for investment and consumption purposes (vol 22, pg 132, 1995)"
33342,doi,,10.1300/j079v22n01_04,B,search_null_doi,crossref=10.1300/j079v22n01_04 sim=1.0 year=match journal=match/name,Predictors of rural community survival after natural disaster: Implications for social work practice
124100,doi,,10.1093/cs/25.4.225,B,search_null_doi,crossref=10.1093/cs/25.4.225 sim=1.0 year=match journal=match/name,"Gay, Lesbian, and Bisexual Youths' Perceptions of Their High School Environments and Comfort in School."
122588,doi,,10.1080/00981380902922482,B,search_null_doi,crossref=10.1080/00981380902922482 sim=1.0 year=match journal=match/name,Women's longevity group: Myrna's group.
125169,doi,,10.1080/01369145032000099611,B,search_null_doi,crossref=10.1080/01369145032000099611 sim=1.0 year=match journal=match/name,Critiquing the goal of autonomy: towards strengthening the ‘relational self’ and the quality of belonging in casework pr
122158,doi,,10.1093/sw/34.3.205,B,search_null_doi,crossref=10.1093/sw/34.3.205 sim=1.0 year=match journal=match/name,Evaluation by Black Americans of the social service encounter during a serious personal problem.
124371,doi,,10.1023/a:1011058419113,B,search_null_doi,crossref=10.1023/a:1011058419113 sim=1.0 year=match journal=match/name,Risk for preadolescent suicidal behavior: An ecological model.
123683,doi,,10.1093/hsw/17.2.99,B,search_null_doi,crossref=10.1093/hsw/17.2.99 sim=1.0 year=match journal=match/name,Disability policy and social work practice.
122128,doi,,10.1093/sw/34.5.463,B,search_null_doi,crossref=10.1093/sw/34.5.463 sim=0.995 year=match journal=match/name,Social casework and environmental cognition: Mobility training for community mental health services.
47257,doi,,10.1525/9780520945913,B,search_null_doi,crossref=10.1525/9780520945913 sim=1.0 year=match_offset_1 journal=unknown/no_container_title,"Offending Women: Power, Punishment and the Regulation of Desire"
124671,doi,,10.1007/bf01875858,B,search_null_doi,crossref=10.1007/bf01875858 sim=1.0 year=match journal=match/name,"History of sexual abuse and parental alcohol misuse: Risk, outcomes and protective factors in adolescents."
23792,doi,,10.1093/oxfordjournals.bjsw.a011370,B,search_null_doi,crossref=10.1093/oxfordjournals.bjsw.a011370 sim=1.0 year=match journal=match/name,Community care: Gender issues
33380,doi,,10.1080/10437797.1995.10778841,B,search_null_doi,crossref=10.1080/10437797.1995.10778841 sim=1.0 year=match journal=match/name,GENDER AND COMMUNICATION IN SOCIAL-WORK EDUCATION - A CROSS-CULTURAL-PERSPECTIVE
124195,doi,,10.1300/j137v08n04_01,B,search_null_doi,crossref=10.1300/j137v08n04_01 sim=1.0 year=match_offset_1 journal=match/name,Rap music in social work practice with African-American and Latino youth: A conceptual model with practical applications
126052,doi,,10.1080/03069887700760181,B,search_null_doi,crossref=10.1080/03069887700760181 sim=1.0 year=match journal=match/name,Assessing non-use of social assistance.
125401,doi,,10.1093/sw/34.4.363,B,search_null_doi,crossref=10.1093/sw/34.4.363 sim=1.0 year=match journal=match/name,Metaanalysis of the effects of practice with the chronically mentally ill: a critique and reappraisal of the literature.
105153,doi,,10.1177/088610998900400306,B,search_null_doi,crossref=10.1177/088610998900400306 sim=1.0 year=match journal=match/name,The psychological status of Vietnamese Chinese women in refugee camps.
54264,doi,,10.15453/0191-5096.2241,B,search_null_doi,crossref=10.15453/0191-5096.2241 sim=1.0 year=match journal=match/name,THE IDEOLOGICAL CONTEXT OF CHANGING JUVENILE JUSTICE
40946,doi,,10.15270/51-3-453,B,search_null_doi,crossref=10.15270/51-3-453 sim=1.0 year=match journal=match/name,THE EXPERIENCES OF SOCIAL WORKERS IN THE PROVISION OF FAMILY PRESERVATION SERVICES
54473,doi,,10.15453/0191-5096.2663,B,search_null_doi,crossref=10.15453/0191-5096.2663 sim=1.0 year=match journal=match/name,"The discourse of denigration and the creation of ""other"""
54541,doi,,10.15453/0191-5096.3698,B,search_null_doi,crossref=10.15453/0191-5096.3698 sim=1.0 year=match journal=match/name,Explicating the Social Mechanisms Linking Alcohol Use Behaviors and Ecology to Child Maltreatment.
